player,id,country,type
Rohit Sharma,34102,India,Batsman
Ajinkya Rahane,277916,India,Batsman
Virat Kohli (c),253802,India,Batsman
Manish Pandey,290630,India,Batsman
MS Dhoni (wk),28081,India,WK-Batsman
Kedar Jadhav,290716,India,Batsman
Hardik Pandya,625371,India,Bowling Allrounder
Bhuvneshwar Kumar,326016,India,Bowler
Kuldeep Yadav,559235,India,Bowler
Yuzvendra Chahal,430246,India,Bowler
Jasprit Bumrah,625383,India,Bowler
Umesh Yadav,376116,India,Bowler
Mohammed Shami,481896,India,Bowler
Ravindra Jadeja,234675,India,Bowling Allrounder
Lokesh Rahul,422108,India,WK-Batsman
